-1,-1,1209,-1,1209,-1,-1,-1,-1,1209,-1,-1,-1,1209,-1,-1,-1,749,751,-1
-1,-1,2934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1209
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,1209,-1,1209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1209,-1,-1
-1,1708,-1,-1,-1,-1,-1,-1,781,-1,-1,-1,-1,-1,-1,1209,2934,-1,-1,-1
-1,-1,1209,-1,-1,-1,-1,-1,1209,-1,-1,-1,-1,-1,-1,-1,1209,-1,-1,-1
-1,1531,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1209,-1,-1,1209,-1,-1,-1,-1,-1,-1,-1,-1,1209,-1,-1,-1,1209
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1209,-1,-1,1209,-1,-1,-1,-1,-1,-1,-1,1209,-1,-1,1209,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,2924,-1,-1,-1,-1,-1,-1,-1,-1,-1,1209,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
